### TABLE 2: Company vs Campaigns ###
Company,Campaigns,Campaign_Frequency,Avg_ROI,rank_company_ROI,rank_ROI,Sum_of_Cost,rank_Cost,Sum_of_Clicks,Sum_of_Impressions,Sum_of_Conversions,Avg_score,rank_avg_score,Avg_Conversion_Rate
Alpha Innovations,Influencer,8059,5.033,1,2,100763490,6,4453696,44381034,358341,5.452,5,0.08
Alpha Innovations,Search,7967,5.025,2,3,99646542,19,4333226,43903119,347324,5.547,1,0.08
Alpha Innovations,Email,8069,5.005,3,11,100836700,3,4405704,44724608,351979,5.48,4,0.08
Alpha Innovations,Social Media,8005,4.984,4,20,100501568,9,4423866,44086742,356657,5.506,2,0.08
Alpha Innovations,Display,7951,4.983,5,22,99433721,20,4366808,43544746,348173,5.501,3,0.08
DataTech Solutions,Display,7988,5.049,1,1,99822600,18,4419262,44242604,357841,5.471,4,0.081
DataTech Solutions,Search,8034,5.013,2,7,100817352,4,4416987,44390395,355299,5.458,5,0.08
DataTech Solutions,Influencer,7968,5.009,3,10,99334549,21,4370364,43862140,353543,5.497,2,0.081
DataTech Solutions,Email,8002,4.987,4,19,100296586,12,4413561,43833239,349517,5.485,3,0.079
DataTech Solutions,Social Media,8020,4.97,5,25,100009977,13,4421441,43923956,348080,5.596,1,0.079
Innovate Industries,Display,7983,5.019,1,5,100428079,10,4399267,43929982,350496,5.561,1,0.08
Innovate Industries,Social Media,7915,5.012,2,8,98741751,23,4377585,43668712,354831,5.468,5,0.081
Innovate Industries,Email,7816,5.011,3,9,96993653,25,4263071,42923120,341434,5.483,4,0.08
Innovate Industries,Influencer,8000,4.989,4,18,100300579,11,4349977,44160584,350047,5.498,3,0.081
Innovate Industries,Search,7995,4.981,5,23,99919707,16,4415768,44042849,355469,5.528,2,0.08
NexGen Systems,Search,8081,5.005,1,11,100738661,7,4417037,44684843,352688,5.478,4,0.08
NexGen Systems,Influencer,7994,5.001,2,14,99882418,17,4384856,43688797,349556,5.462,5,0.08
NexGen Systems,Social Media,7981,4.991,3,17,100008709,14,4387466,43845333,345532,5.497,3,0.079
NexGen Systems,Display,8042,4.984,4,20,100554659,8,4419895,44287744,351511,5.514,1,0.08
NexGen Systems,Email,7893,4.976,5,24,98512059,24,4348084,43830200,347857,5.51,2,0.08
TechCorp,Influencer,8148,5.023,1,4,102119489,1,4478764,44676526,360160,5.506,2,0.08
TechCorp,Search,8080,5.018,2,6,100789498,5,4449126,44393933,353811,5.426,4,0.079
TechCorp,Social Media,7896,5.003,3,13,98956095,22,4345366,43531658,353737,5.422,5,0.081
TechCorp,Display,8023,4.999,4,15,99919715,15,4425747,44069680,356161,5.483,3,0.081
TechCorp,Email,8090,4.992,5,16,101550451,2,4467482,44833760,356610,5.539,1,0.08

### TABLE 3: Company (Overview) ###
Company,Avg_ROI,rank_ROI,Sum_of_Cost,rank_Cost,Sum_of_Clicks,Sum_of_Impressions,Sum_of_Conversions,Avg_score,rank_avg_score,Avg_Conversion_Rate
TechCorp,5.007,1,503335248,1,22166485,221505557,1780479,5.475,5,0.08
DataTech Solutions,5.006,2,500281064,3,22041615,220252334,1764280,5.501,2,0.08
Alpha Innovations,5.006,2,501182021,2,21983300,220640249,1762474,5.497,3,0.08
Innovate Industries,5.002,4,496383769,5,21805668,218725247,1752277,5.508,1,0.08
NexGen Systems,4.991,5,499696506,4,21957338,220336917,1747144,5.492,4,0.08

### TABLE 4: Campaigns (Overview) ###
Campaigns,Campaign_Frequency,Avg_ROI,rank_ROI,Sum_of_Cost,rank_Cost,Sum_of_Clicks,rank_Clicks,Sum_of_Impressions,rank_Impressions,Sum_of_Conversions,rank_Conversions,Avg_score,rank_avg_score,Avg_Conversion_Rate
Influencer,40169,5.011,1,502400525,1,22037657,1,220769081,2,1771647,1,5.483,5,0.08
Search,40157,5.008,2,501911760,2,22032144,2,221415139,1,1764591,2,5.487,4,0.08
Display,39987,5.007,3,500158774,3,22030979,3,220074756,4,1764182,3,5.506,1,0.08
Email,39870,4.994,4,498189449,5,21897902,5,220144927,3,1747397,5,5.5,2,0.08
Social Media,39817,4.992,5,498218100,4,21955724,4,219056401,5,1758837,4,5.498,3,0.08
